CohortMonth,CohortIndex,ActiveCustomers,CohortCustomers,RetentionRate,PeriodLabel
2010-01,18,76,383,0.19843342036553524,Month 18
2010-01,19,71,383,0.185378590078329,Month 19
2010-01,20,75,383,0.195822454308094,Month 20
2010-01,21,93,383,0.24281984334203655,Month 21
2010-01,22,74,383,0.19321148825065274,Month 22
2010-01,23,94,383,0.2454308093994778,Month 23
2010-01,24,22,383,0.057441253263707574,Month 24
2010-02,1,374,374,1.0,Month 1
2010-02,2,89,374,0.23796791443850268,Month 2
2010-02,3,84,374,0.22459893048128343,Month 3
2010-02,4,109,374,0.2914438502673797,Month 4
2010-02,5,92,374,0.24598930481283424,Month 5
2010-02,6,75,374,0.20053475935828877,Month 6
2010-02,7,72,374,0.1925133689839572,Month 7
2010-02,8,107,374,0.28609625668449196,Month 8
2010-02,9,95,374,0.2540106951871658,Month 9
2010-02,10,103,374,0.27540106951871657,Month 10
2010-02,11,43,374,0.11497326203208556,Month 11
2010-02,12,47,374,0.12566844919786097,Month 12
2010-02,13,57,374,0.15240641711229946,Month 13
2010-02,14,65,374,0.17379679144385027,Month 14
2010-02,15,46,374,0.12299465240641712,Month 15
2010-02,16,75,374,0.20053475935828877,Month 16
2010-02,17,60,374,0.16042780748663102,Month 17
2010-02,18,61,374,0.16310160427807488,Month 18
2010-02,19,54,374,0.1443850267379679,Month 19
2010-02,20,86,374,0.22994652406417113,Month 20
2010-02,21,86,374,0.22994652406417113,Month 21
2010-02,22,61,374,0.16310160427807488,Month 22
2010-02,23,22,374,0.058823529411764705,Month 23
2010-03,1,443,443,1.0,Month 1
2010-03,2,84,443,0.18961625282167044,Month 2
2010-03,3,102,443,0.23024830699774265,Month 3
2010-03,4,107,443,0.24153498871331827,Month 4
2010-03,5,103,443,0.2325056433408578,Month 5
2010-03,6,90,443,0.20316027088036118,Month 6
2010-03,7,109,443,0.24604966139954854,Month 7
2010-03,8,134,443,0.30248306997742663,Month 8
2010-03,9,122,443,0.27539503386004516,Month 9
2010-03,10,48,443,0.10835214446952596,Month 10
2010-03,11,51,443,0.11512415349887133,Month 11
2010-03,12,63,443,0.14221218961625282,Month 12
2010-03,13,89,443,0.20090293453724606,Month 13
2010-03,14,72,443,0.16252821670428894,Month 14
2010-03,15,89,443,0.20090293453724606,Month 15
2010-03,16,75,443,0.16930022573363432,Month 16
2010-03,17,77,443,0.17381489841986456,Month 17
2010-03,18,69,443,0.15575620767494355,Month 18
2010-03,19,78,443,0.17607223476297967,Month 19
2010-03,20,89,443,0.20090293453724606,Month 20
2010-03,21,94,443,0.21218961625282168,Month 21
2010-03,22,35,443,0.07900677200902935,Month 22
2010-04,1,294,294,1.0,Month 1
2010-04,2,57,294,0.19387755102040816,Month 2
2010-04,3,57,294,0.19387755102040816,Month 3
2010-04,4,48,294,0.16326530612244897,Month 4
2010-04,5,54,294,0.1836734693877551,Month 5
2010-04,6,66,294,0.22448979591836735,Month 6
2010-04,7,81,294,0.2755102040816326,Month 7
2010-04,8,77,294,0.2619047619047619,Month 8
2010-04,9,31,294,0.1054421768707483,Month 9
2010-04,10,32,294,0.10884353741496598,Month 10
2010-04,11,22,294,0.07482993197278912,Month 11
2010-04,12,41,294,0.13945578231292516,Month 12
2010-04,13,41,294,0.13945578231292516,Month 13
2010-04,14,46,294,0.1564625850340136,Month 14
2010-04,15,46,294,0.1564625850340136,Month 15
2010-04,16,46,294,0.1564625850340136,Month 16
2010-04,17,41,294,0.13945578231292516,Month 17
2010-04,18,44,294,0.14965986394557823,Month 18
2010-04,19,53,294,0.18027210884353742,Month 19
2010-04,20,66,294,0.22448979591836735,Month 20
2010-04,21,17,294,0.05782312925170068,Month 21
2010-05,1,254,254,1.0,Month 1
2010-05,2,40,254,0.15748031496062992,Month 2
2010-05,3,43,254,0.16929133858267717,Month 3
2010-05,4,44,254,0.1732283464566929,Month 4
2010-05,5,45,254,0.17716535433070865,Month 5
2010-05,6,65,254,0.2559055118110236,Month 6
2010-05,7,54,254,0.2125984251968504,Month 7
2010-05,8,32,254,0.12598425196850394,Month 8
2010-05,9,15,254,0.05905511811023622,Month 9
2010-05,10,21,254,0.08267716535433071,Month 10
2010-05,11,29,254,0.1141732283464567,Month 11
2010-05,12,34,254,0.13385826771653545,Month 12
2010-05,13,39,254,0.15354330708661418,Month 13
2010-05,14,39,254,0.15354330708661418,Month 14
2010-05,15,25,254,0.0984251968503937,Month 15
2010-05,16,32,254,0.12598425196850394,Month 16
2010-05,17,35,254,0.1377952755905512,Month 17
2010-05,18,42,254,0.16535433070866143,Month 18
2010-05,19,39,254,0.15354330708661418,Month 19
2010-05,20,12,254,0.047244094488188976,Month 20
2010-06,1,270,270,1.0,Month 1
2010-06,2,47,270,0.17407407407407408,Month 2
2010-06,3,51,270,0.18888888888888888,Month 3
2010-06,4,55,270,0.2037037037037037,Month 4
2010-06,5,62,270,0.22962962962962963,Month 5
2010-06,6,77,270,0.2851851851851852,Month 6
2010-06,7,34,270,0.1259259259259259,Month 7
2010-06,8,24,270,0.08888888888888889,Month 8
2010-06,9,22,270,0.08148148148148149,Month 9
2010-06,10,32,270,0.11851851851851852,Month 10
2010-06,11,29,270,0.10740740740740741,Month 11
2010-06,12,37,270,0.13703703703703704,Month 12
2010-06,13,40,270,0.14814814814814814,Month 13
2010-06,14,33,270,0.12222222222222222,Month 14
2010-06,15,30,270,0.1111111111111111,Month 15
2010-06,16,33,270,0.12222222222222222,Month 16
2010-06,17,36,270,0.13333333333333333,Month 17
2010-06,18,55,270,0.2037037037037037,Month 18
2010-06,19,14,270,0.05185185185185185,Month 19
2010-07,1,186,186,1.0,Month 1
2010-07,2,29,186,0.15591397849462366,Month 2
2010-07,3,34,186,0.1827956989247312,Month 3
2010-07,4,55,186,0.2956989247311828,Month 4
2010-07,5,54,186,0.2903225806451613,Month 5
2010-07,6,26,186,0.13978494623655913,Month 6
2010-07,7,21,186,0.11290322580645161,Month 7
2010-07,8,27,186,0.14516129032258066,Month 8
2010-07,9,27,186,0.14516129032258066,Month 9
2010-07,10,21,186,0.11290322580645161,Month 10
2010-07,11,25,186,0.13440860215053763,Month 11
2010-07,12,27,186,0.14516129032258066,Month 12
2010-07,13,25,186,0.13440860215053763,Month 13
2010-07,14,25,186,0.13440860215053763,Month 14
2010-07,15,36,186,0.1935483870967742,Month 15
2010-07,16,32,186,0.17204301075268819,Month 16
2010-07,17,44,186,0.23655913978494625,Month 17
2010-07,18,15,186,0.08064516129032258,Month 18
2010-08,1,162,162,1.0,Month 1
2010-08,2,33,162,0.2037037037037037,Month 2
2010-08,3,48,162,0.2962962962962963,Month 3
2010-08,4,52,162,0.32098765432098764,Month 4
2010-08,5,28,162,0.1728395061728395,Month 5
2010-08,6,19,162,0.11728395061728394,Month 6
2010-08,7,16,162,0.09876543209876543,Month 7
2010-08,8,20,162,0.12345679012345678,Month 8
2010-08,9,22,162,0.13580246913580246,Month 9
2010-08,10,21,162,0.12962962962962962,Month 10
2010-08,11,21,162,0.12962962962962962,Month 11
2010-08,12,20,162,0.12345679012345678,Month 12
2010-08,13,25,162,0.15432098765432098,Month 13
2010-08,14,30,162,0.18518518518518517,Month 14
2010-08,15,29,162,0.17901234567901234,Month 15
2010-08,16,32,162,0.19753086419753085,Month 16
2010-08,17,11,162,0.06790123456790123,Month 17
2010-09,1,243,243,1.0,Month 1
2010-09,2,55,243,0.22633744855967078,Month 2
2010-09,3,57,243,0.2345679012345679,Month 3
2010-09,4,30,243,0.12345679012345678,Month 4
2010-09,5,22,243,0.09053497942386832,Month 5
2010-09,6,25,243,0.102880658436214,Month 6
2010-09,7,33,243,0.13580246913580246,Month 7
2010-09,8,24,243,0.09876543209876543,Month 8
2010-09,9,31,243,0.12757201646090535,Month 9
2010-09,10,32,243,0.13168724279835392,Month 10
2010-09,11,28,243,0.11522633744855967,Month 11
2010-09,12,24,243,0.09876543209876543,Month 12
2010-09,13,53,243,0.21810699588477367,Month 13
2010-09,14,40,243,0.1646090534979424,Month 14
2010-09,15,39,243,0.16049382716049382,Month 15
2010-09,16,13,243,0.053497942386831275,Month 16
2010-10,1,377,377,1.0,Month 1
2010-10,2,97,377,0.2572944297082228,Month 2
2010-10,3,55,377,0.14588859416445624,Month 3
2010-10,4,47,377,0.1246684350132626,Month 4
2010-10,5,33,377,0.08753315649867374,Month 5
2010-10,6,31,377,0.08222811671087533,Month 6
2010-10,7,49,377,0.129973474801061,Month 7
2010-10,8,52,377,0.13793103448275862,Month 8
2010-10,9,40,377,0.10610079575596817,Month 9
2010-10,10,35,377,0.09283819628647215,Month 10
2010-10,11,40,377,0.10610079575596817,Month 11
2010-10,12,49,377,0.129973474801061,Month 12
2010-10,13,72,377,0.1909814323607427,Month 13
2010-10,14,87,377,0.23076923076923078,Month 14
2010-10,15,26,377,0.06896551724137931,Month 15
2010-11,1,325,325,1.0,Month 1
2010-11,2,57,325,0.1753846153846154,Month 2
2010-11,3,30,325,0.09230769230769231,Month 3
2010-11,4,31,325,0.09538461538461539,Month 4
2010-11,5,25,325,0.07692307692307693,Month 5
2010-11,6,28,325,0.08615384615384615,Month 6
2010-11,7,42,325,0.12923076923076923,Month 7
2010-11,8,32,325,0.09846153846153846,Month 8
2010-11,9,28,325,0.08615384615384615,Month 9
2010-11,10,29,325,0.08923076923076922,Month 10
2010-11,11,36,325,0.11076923076923077,Month 11
2010-11,12,47,325,0.14461538461538462,Month 12
2010-11,13,83,325,0.2553846153846154,Month 13
2010-11,14,20,325,0.06153846153846154,Month 14
2010-12,1,76,76,1.0,Month 1
2010-12,2,7,76,0.09210526315789473,Month 2
2010-12,3,4,76,0.05263157894736842,Month 3
2010-12,4,7,76,0.09210526315789473,Month 4
2010-12,5,9,76,0.11842105263157894,Month 5
2010-12,6,5,76,0.06578947368421052,Month 6
2010-12,7,4,76,0.05263157894736842,Month 7
2010-12,8,7,76,0.09210526315789473,Month 8
2010-12,9,4,76,0.05263157894736842,Month 9
2010-12,10,2,76,0.02631578947368421,Month 10
2010-12,11,7,76,0.09210526315789473,Month 11
2010-12,12,15,76,0.19736842105263158,Month 12
2010-12,13,2,76,0.02631578947368421,Month 13
2011-01,1,71,71,1.0,Month 1
2011-01,2,12,71,0.16901408450704225,Month 2
2011-01,3,15,71,0.2112676056338028,Month 3
2011-01,4,14,71,0.19718309859154928,Month 4
2011-01,5,15,71,0.2112676056338028,Month 5
2011-01,6,11,71,0.15492957746478872,Month 6
2011-01,7,11,71,0.15492957746478872,Month 7
2011-01,8,9,71,0.1267605633802817,Month 8
2011-01,9,8,71,0.11267605633802817,Month 9
2011-01,10,15,71,0.2112676056338028,Month 10
2011-01,11,18,71,0.2535211267605634,Month 11
2011-01,12,8,71,0.11267605633802817,Month 12
2011-02,1,124,124,1.0,Month 1
2011-02,2,20,124,0.16129032258064516,Month 2
2011-02,3,19,124,0.1532258064516129,Month 3
2011-02,4,23,124,0.18548387096774194,Month 4
2011-02,5,27,124,0.21774193548387097,Month 5
2011-02,6,19,124,0.1532258064516129,Month 6
2011-02,7,19,124,0.1532258064516129,Month 7
2011-02,8,18,124,0.14516129032258066,Month 8
2011-02,9,18,124,0.14516129032258066,Month 9
2011-02,10,22,124,0.1774193548387097,Month 10
2011-02,11,7,124,0.056451612903225805,Month 11
2011-03,1,179,179,1.0,Month 1
2011-03,2,33,179,0.18435754189944134,Month 2
2011-03,3,39,179,0.21787709497206703,Month 3
2011-03,4,36,179,0.2011173184357542,Month 4
2011-03,5,40,179,0.22346368715083798,Month 5
2011-03,6,27,179,0.15083798882681565,Month 6
2011-03,7,37,179,0.20670391061452514,Month 7
2011-03,8,36,179,0.2011173184357542,Month 8
2011-03,9,43,179,0.24022346368715083,Month 9
2011-03,10,17,179,0.09497206703910614,Month 10
2011-04,1,106,106,1.0,Month 1
2011-04,2,27,106,0.25471698113207547,Month 2
2011-04,3,21,106,0.19811320754716982,Month 3
2011-04,4,21,106,0.19811320754716982,Month 4
2011-04,5,19,106,0.1792452830188679,Month 5
2011-04,6,25,106,0.2358490566037736,Month 6
2011-04,7,19,106,0.1792452830188679,Month 7
2011-04,8,27,106,0.25471698113207547,Month 8
2011-04,9,12,106,0.11320754716981132,Month 9
2011-05,1,111,111,1.0,Month 1
2011-05,2,26,111,0.23423423423423423,Month 2
2011-05,3,27,111,0.24324324324324326,Month 3
2011-05,4,18,111,0.16216216216216217,Month 4
2011-05,5,24,111,0.21621621621621623,Month 5
2011-05,6,23,111,0.2072072072072072,Month 6
2011-05,7,29,111,0.26126126126126126,Month 7
2011-05,8,13,111,0.11711711711711711,Month 8
2011-06,1,108,108,1.0,Month 1
2011-06,2,25,108,0.23148148148148148,Month 2
2011-06,3,23,108,0.21296296296296297,Month 3
2011-06,4,29,108,0.26851851851851855,Month 4
2011-06,5,22,108,0.2037037037037037,Month 5
2011-06,6,31,108,0.28703703703703703,Month 6
2011-06,7,9,108,0.08333333333333333,Month 7
2011-07,1,102,102,1.0,Month 1
2011-07,2,22,102,0.21568627450980393,Month 2
2011-07,3,31,102,0.30392156862745096,Month 3
2011-07,4,28,102,0.27450980392156865,Month 4
2011-07,5,35,102,0.3431372549019608,Month 5
2011-07,6,16,102,0.1568627450980392,Month 6
2011-08,1,106,106,1.0,Month 1
2011-08,2,29,106,0.27358490566037735,Month 2
2011-08,3,33,106,0.3113207547169811,Month 3
2011-08,4,28,106,0.2641509433962264,Month 4
2011-08,5,18,106,0.16981132075471697,Month 5
2011-09,1,189,189,1.0,Month 1
2011-09,2,51,189,0.2698412698412698,Month 2
2011-09,3,71,189,0.37566137566137564,Month 3
2011-09,4,28,189,0.14814814814814814,Month 4
2011-10,1,221,221,1.0,Month 1
2011-10,2,71,221,0.3212669683257919,Month 2
2011-10,3,35,221,0.1583710407239819,Month 3
2011-11,1,191,191,1.0,Month 1
2011-11,2,27,191,0.14136125654450263,Month 2
2011-12,1,28,28,1.0,Month 1
